"SDG","SDG target","SDG indicator","Indicator Code","Indicator name","Geographical area code","Geographical area name","Year","Value","Time detail","Source","Footnote","Type of data","Units","Age group","Bounds","Frequency","Level/Status","Location","Type of reporting","Sex","SDG 6 Data portal level"
"","","6.1.1","","Drinking water,Total","","Croatia","2007","98.684878575054","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Aruba","2016","97.869023380986","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Eritrea","2016","69.446970587572","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Argentina","2016","99.041373780833","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Channel Islands","2017","94.15","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Saint Kitts and Nevis","2017","98.611854132407","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Anguilla","2017","97.482274247492","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Sint Maarten (Dutch part)","2017","95.311179329752","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Curaçao","2017","99.497751847518","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Grenada","2017","96.790132027889","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Equatorial Guinea","2017","67.623818159368","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Dominica","2017","95.420656063166","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Saint Vincent and the Grenadines","2018","97.728305854956","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Nauru","2019","97.003356247305","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Comoros","2019","91.070913312967","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Bahamas","2019","98.88696049734","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","United States Virgin Islands","2020","98.718267375869","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Saint Pierre and Miquelon","2020","91.4","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Micronesia (Federated States of)","2020","90.114291107853","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Nicaragua","2020","83.215399665858","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Falkland Islands (Malvinas)","2020","95.308927052049","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Kazakhstan","2021","97.38568926767","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Congo","2021","84.432353177293","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Solomon Islands","2021","73.229479957238","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","American Samoa","2021","99.244751811651","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","sdg","Australia and New Zealand","2022","99.974735790217","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","sdg","Sub-Saharan Africa","2022","78.784482191479","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","sdg","Latin America and the Caribbean","2022","98.045587801529","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Yemen","2022","91.203577821781","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Zambia","2022","74.650301459544","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Wallis and Futuna Islands","2022","99.256914225573","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Samoa","2022","99.320652978479","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Venezuela (Bolivarian Republic of)","2022","93.800614059729","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Uruguay","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Uzbekistan","2022","98.426777888724","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Burkina Faso","2022","78.983312817035","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","United States of America","2022","99.964112843649","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Egypt","2022","99.004068538775","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","United Kingdom of Great Britain and Northern Ireland","2022","99.999997882225","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","United Republic of Tanzania","2022","76.986024500912","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Isle of Man","2022","99.883851612903","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Uganda","2022","84.155377812858","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Ukraine","2022","99.259323452166","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","North Macedonia","2022","99.425863172693","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Turks and Caicos Islands","2022","99.786392596536","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Tuvalu","2022","99.657771303039","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Turkmenistan","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","United Arab Emirates","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Türkiye","2022","99.041295888768","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Tunisia","2022","98.78948972805","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Trinidad and Tobago","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Tajikistan","2022","84.49754235705","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Thailand","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Togo","2022","77.175707418229","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Tokelau","2022","99.707676654073","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Tonga","2022","99.694286082082","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Syrian Arab Republic","2022","99.908837364478","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Switzerland","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Sudan","2022","93.780969013346","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Suriname","2022","99.058987080319","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Eswatini","2022","83.378492900117","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Sweden","2022","99.738879865757","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","South Sudan","2022","78.461812108841","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Zimbabwe","2022","76.810739924642","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Spain","2022","99.925157573403","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Somalia","2022","86.651677168925","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","South Africa","2022","97.236116397812","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Slovenia","2022","99.5","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Viet Nam","2022","97.956816584316","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Seychelles","2022","96.418843558986","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Sierra Leone","2022","72.774832364883","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Singapore","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Slovakia","2022","99.99999788887","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Serbia","2022","99.54857383323","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Senegal","2022","88.980732385427","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Saudi Arabia","2022","99.322167538576","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Sao Tome and Principe","2022","97.664463079547","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","San Marino","2022","100","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Saint Lucia","2022","98.705216768428","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Saint Helena","2022","99.1","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Rwanda","2022","84.425386714916","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Qatar","2022","99.988972141731","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Réunion","2022","99.94345078591","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Russian Federation","2022","97.668756452009","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
"","","6.1.1","","Drinking water,Total","","Romania","2022","99.999997973284","","WHO, UNICEF","","","","","","","","National","","","Proportion of population using an improved drinking-water source > Total"
