id,ADMIN
0,Algeria
1,Angola
2,Benin
3,Botswana
4,"Burkina Faso"
5,Burundi
6,"Cabo Verde"
7,Cameroon
8,"Central African Republic"
9,Chad
10,Comoros
11,Congo
12,"Côte d'Ivoire"
13,Djibouti
14,"Democratic Republic of the Congo"
15,Egypt
16,"Equatorial Guinea"
17,Eritrea
18,Eswatini
19,Ethiopia
20,Gabon
21,Gambia
22,Ghana
23,Guinea
24,"Guinea-Bissau"
25,Kenya
26,Lesotho
27,Liberia
28,Libya
29,Madagascar
30,Malawi
31,Mali
32,Mauritania
33,Mauritius
34,Mayotte
35,Morocco
36,Mozambique
37,Namibia
38,Niger
39,Nigeria
40,Réunion
41,Rwanda
42,"Saint Helena"
43,"Sao Tome & Principe"
44,Senegal
45,Seychelles
46,"Sierra Leone"
47,Somalia
48,"Somaliland"
49,"South Africa"
50,"South Sudan"
51,Sudan
52,"United Republic of Tanzania"
53,Togo
54,Tunisia
55,Uganda
56,"Western Sahara"
57,Zambia
58,Zimbabwe
