"SDG","SDG target","SDG indicator","Indicator Code","Indicator name","Geographical area code","Geographical area name","Year","Value","Time detail","Source","Footnote","Type of data","Units","Age group","Bounds","Frequency","Level/Status","Location","Type of reporting","Sex","SDG 6 Data portal level"
"","","6.1.1","","Drinking water,At least basic service","","Argentina","2016","99.041373780833","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Eritrea","2016","51.84971602427","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Aruba","2016","97.869023380986","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Dominica","2017","95.420656063166","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Equatorial Guinea","2017","64.665818808188","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Saint Kitts and Nevis","2017","98.611854132407","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Anguilla","2017","97.482274247492","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Sint Maarten (Dutch part)","2017","95.311179329752","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Curaçao","2017","99.497751847518","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Saint Vincent and the Grenadines","2018","97.728305854956","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Nauru","2019","97.003356247305","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Comoros","2019","80.210501476987","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Bahamas","2019","98.88696049734","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Falkland Islands (Malvinas)","2020","95.308927052049","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Micronesia (Federated States of)","2020","90.114291107853","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Solomon Islands","2021","67.447610694244","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Jamaica","2022","91.099633324422","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Djibouti","2022","76.167117079755","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Gabon","2022","86.927765876777","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Faroe Islands","2022","100","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Greenland","2022","100","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Guinea","2022","71.451211609459","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Guyana","2022","95.859737279822","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Haiti","2022","67.418884716019","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","India","2022","93.299095781949","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","El Salvador","2022","98.593159989238","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Mali","2022","83.649463670106","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Belize","2022","98.405234123245","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Angola","2022","57.719560669286","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Antigua and Barbuda","2022","98.364935618303","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Bermuda","2022","99.903140017064","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Barbados","2022","98.51445041862","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Australia","2022","99.969731391814","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Bolivia (Plurinational State of)","2022","94.113370383616","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","Brunei Darussalam","2022","99.900051164149","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
"","","6.1.1","","Drinking water,At least basic service","","British Virgin Islands","2022","99.864383561644","","WHO, UNICEF","","","","","","","","National","","","6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
