"SDG","SDG target","SDG indicator","Indicator Code","Indicator name","Geographical area code","Geographical area name","Year","Value","Time detail","Source","Footnote","Type of data","Units","Age group","Bounds","Frequency","Level/Status","Location","Type of reporting","Sex","SDG 6 Data portal level"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2000","1054.76951","2000","The Organisation for Economic Co-operation and Development (OECD).","Commitments, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2000","992.32153","2000","The Organisation for Economic Co-operation and Development (OECD).","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2001","1339.20258","2001","The Organisation for Economic Co-operation and Development (OECD).","Commitments, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2001","1265.33871","2001","The Organisation for Economic Co-operation and Development (OECD).","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2002","682.38648","2002","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2002","722.55286","2002","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2003","822.2521","2003","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2003","869.92647","2003","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2004","962.49233","2004","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2004","1022.20518","2004","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2005","1288.19699","2005","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2005","1215.11227","2005","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2006","1284.16221","2006","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2006","1358.90062","2006","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2007","1575.23147","2007","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2007","1670.89435","2007","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
